"VAR2","VAR3","REGION","N","Avg_DBH","Min_DBH","Max_DBH","SD(PE)","SD(PE%)","MEAN(PE)","MEAN(PE%)","MEAN(APE)","MEAN(APE%)","SIGMA","RMSE","FI"
"Branches","BRT_WDBK_DW_TOT","Western_WA",136,15.2154411764706,3.3,86.9,168.246901833279,66.1052661122981,14.4398545448464,16.8889794107924,81.3686002593677,41.2903283789691,5.448124572869,168.248000056479,0.935431213301239
"Total Stem Bark Weight","ST_BK_DW_TOT","Western_WA",102,14.7872549019608,3.6,43.5,115.985847860141,40.224474284301,25.6047249569146,25.3748721882883,61.4988439429199,36.492924726418,4.56937497164585,118.22195000314,0.881303478550999
"Total Stem Wood Weight","ST_WD_DW_TOT","Western_WA",102,14.7872549019608,3.6,43.5,309.491560015322,19.7167200382157,85.5241160651809,10.4032198787621,202.565090341274,15.3375220225624,15.4112761984596,319.625298231904,0.97529881267899
"Total Stem Wood+Bark Weight","ST_WDBK_DW_TOT","Western_WA",128,12.8484375,3.3,43.5,345.193568586798,19.8463855780545,87.7827269886609,7.61728356394602,197.615405073481,14.6882428683958,16.2179972670472,354.871075730844,0.974546735237576
"Total Tree Wood+Bark+Foliage","TT_DW_ADJ","Southern_States",8626,7.6704613957802,1,37.9,176.692215723483,19.3255869025136,-5.36185718622971,-0.79186167803656,68.1044907488964,13.9966798999083,9.78168877316202,176.763314358826,0.977276825189287
"Total Tree Wood+Bark","TT_WDBK_DW_ADJ","Southern_States",7618,7.39787345760042,1,42,175.866327852482,19.2219272302055,-1.54130416412735,-1.28684703345243,63.3147857661955,13.958161188743,9.29899016707521,175.861539018351,0.979691028326596
"Stump Wood+Bark Weight","SP_WDBK_DW","Southern_States",11812,8.02406027768371,1,42,7.53517633318694,28.0154466661119,-0.26971146288111,-3.48699911608706,3.80564976469754,20.7696194943193,0.606605737932784,7.53968300156522,0.946133634093126
"Branches","BRT_WDBK_DW_TOT","Southern_States",7971,7.4616484757245,1,42,131.294242415936,106.665703392689,-0.114797012841211,14.1661616337449,39.0024139294612,51.5980535753721,6.30919906698007,131.286056602367,0.896005402681023
"Total Stem Wood+Bark Weight","ST_WDBK_DW_TOT","Southern_States",11812,8.02406027768371,1,42,108.052306325256,17.803007459514,-2.73521314976748,0.613837237232967,47.6409443935994,12.5896188103087,6.67005906827565,108.082347615519,0.981562002096084
"Merch Stem Bark Volume","ST_BK_CV_MER","Southern_States",66380,11.1170714070503,5,48.9,1.659088526495,51.3202751629575,0.00233934456398799,10.3699355523696,0.908682882739421,27.9456183155075,0.0998104238029053,1.6590776788178,0.863538694897814
